h_code,x,y,z,no
1129065000,-0.040161517,-0.565279883,-0.154081674,1
1129066000,1.244962249,-0.880227715,0.582533055,0
1129068500,0.572273367,0.211319136,-0.017987937,0
1129070500,-1.227599314,0.048566998,0.565617262,4
1129071500,0.116666663,-0.326869398,-0.081617207,1
1129072500,-0.155529634,-0.590107484,0.084463093,2
1129076000,-0.965599213,0.375344384,-0.679662621,1
1129077000,-1.569288408,-0.262066934,-0.417502832,4
1129078000,-0.614053882,0.073797438,-0.100867026,1
1129081000,-0.272394496,1.727452083,-1.386305614,1
1130553400,-1.965310934,-0.935592238,0.004977877,4
1130553500,-0.681414712,-2.065362665,0.469134592,2
1130554500,-0.045576877,-1.202512771,0.720649416,2
1130555500,-2.094868828,-0.664493248,0.145497822,4
1130557500,0.249197092,-0.619293115,-0.020045069,1
1130559500,-2.679411631,-0.627021233,0.431770044,4
1130560300,-1.566863496,-2.301905094,-0.092604782,2
1130560800,-0.40852951,-2.545581687,-0.257611585,2
1130561500,-1.552132188,-1.772411561,0.409642923,2
1130562500,-0.910968394,-2.28108523,0.525555111,2
1130563500,-2.080249322,-0.804003157,0.782613747,4
1130564500,-1.086178175,-0.963109037,0.001368086,2
1130566000,-0.932944265,-1.720411244,0.205498455,2
1132051100,-0.16268883,-2.335305748,0.513255364,2
1132051200,-1.097258579,-0.984536849,0.456218916,2
1132051300,-2.393781677,-0.66628132,0.160887203,4
1132051400,-0.557522185,-0.920319236,0.26171756,2
1132051500,-0.430435825,-1.917807735,0.443014904,2
1132052100,-2.631042006,-0.245894478,-0.169571319,4
1132052200,-2.220455782,-1.344132991,0.236860342,4
1132066000,-0.837519966,-1.384862007,0.181554665,2
1132067000,-1.252384573,-1.799805229,0.564703117,2
1132068000,-1.192221681,-2.047932697,0.527738212,2
1132068100,0.109373293,-2.429658602,0.531068749,2
1132069000,-1.477232458,-0.489833007,0.426303521,4
1132070000,-2.96559594,-0.260438757,0.05715444,4
1132071000,-0.811037271,-0.961288388,0.087267261,2
1135056000,-2.966212389,0.153462337,0.682291408,4
1135057000,-1.006341179,-1.129193773,-0.110173422,2
1135058000,-0.131466414,-2.08350342,0.269104376,2
1135059500,-0.41549393,-1.011101704,1.140142981,2
1135060000,-0.232876727,-0.844695639,0.936839394,2
1135061100,0.106847263,-1.323732161,0.171994263,2
1135061200,0.402170057,-1.426109422,-0.001288391,2
1135061900,-0.307350974,1.004671873,0.378202851,1
1135062100,-0.036110239,0.041773767,0.601254853,1
1135062400,-0.804254285,-1.262228447,0.323123686,2
1135062500,0.769557567,-2.518288532,0.739680936,0
1135063000,-0.371196701,-1.071548708,0.670887961,2
1135064000,-1.243405193,-0.667512081,1.057872196,4
1135066500,-2.368324683,-0.83408454,0.249344297,4
1135067000,-0.591267806,-1.653080926,0.349290342,2
1135069500,1.133418465,-2.253117972,0.931461207,0
1135070000,0.023474442,-1.056364362,0.49880369,2
1135071000,-0.057926479,-2.127851752,0.275836438,2
1135072000,0.863461482,-2.50937627,0.236084658,0
1138051000,0.212608402,-1.440040648,0.354339813,2
1138052000,-0.297442831,-1.563827171,0.100644123,2
1138053000,-0.468401404,-0.174759887,0.23676182,1
1138055100,0.03571549,0.195750795,-0.546805292,1
1138055200,1.3392966,-0.576834431,-0.05309669,0
1138056000,-1.852122758,-0.768419263,-0.040512418,4
1138057000,0.453050183,-1.720602867,1.137379482,0
1138058000,0.990192225,-1.181293486,0.614464694,0
1138059000,0.185261254,0.327159872,-0.331139417,0
1138060000,-0.643194037,-0.024122992,0.140248097,1
1138062500,0.230649948,-1.076589117,0.705427268,2
1138063100,0.850791012,-0.089440587,-0.567132554,1
1138063200,-1.326203094,1.207971554,-1.078796513,1
1138064000,-1.166303413,-1.00720953,-0.128878737,2
1138065000,-0.673359933,-0.717090565,-0.395530379,2
1138069000,2.428512249,0.492642348,0.37670449,0
1141052000,1.429992622,-0.544803643,-0.844146267,0
1141055500,0.459845798,-0.395353753,-0.165183556,1
1141056500,-0.118257289,-1.310333527,0.583944512,2
1141058500,3.216146282,-0.634984923,3.983110884,3
1141061500,0.707436055,0.352785895,0.107062596,0
1141062000,0.885598281,-1.264108194,-0.170843491,0
1141064000,-0.389534737,-0.458872226,-0.53093202,1
1141065500,0.61043885,-1.045077685,-0.612179273,0
1141066000,-0.360009958,-0.36789721,-0.248259578,1
1141068500,-0.218619834,-0.090647009,-0.301209567,1
1141069000,0.74269706,0.372627314,-0.424015728,0
1141070000,0.705775233,-0.40707431,-0.020033685,1
1141071000,0.834624519,-0.273409967,-0.697778431,1
1141072000,-0.834432652,-0.737258242,-0.138075205,2
1144055500,1.478738657,-0.439097363,0.035252462,0
1144056500,1.243131947,-1.000309936,-0.185705928,0
1144058500,-0.004845196,-0.938459242,0.521972471,2
1144059000,1.586817673,-0.564382508,0.359056475,0
1144060000,0.494303765,-0.747674541,0.617661634,0
1144061000,0.6160965,0.212813966,-0.378185665,0
1144063000,0.552601265,0.628069907,-0.740305066,0
1144065500,0.792372215,-0.780980137,0.937097975,0
1144066000,2.705858604,0.189903573,4.927327891,3
1144068000,2.282340412,-0.097957884,-0.187923203,0
1144069000,1.88911696,-0.084959721,-0.635481063,0
1144070000,1.666599081,-0.831654475,-0.387414581,0
1144071000,1.426239078,-0.799142717,0.517565033,0
1144072000,1.163388238,-1.17637322,0.047798395,0
1144073000,2.250785958,-1.623713599,0.315325565,0
1144074000,1.617832669,-0.564874931,0.954291281,0
1147051000,1.556883415,1.449041969,1.277557598,0
1147052000,1.06100802,0.315548396,-0.583412329,0
1147053000,1.230924399,-0.300790103,-0.426197438,0
1147054000,-0.030045823,1.299644411,-0.349543304,1
1147055000,0.47040679,1.374064021,-0.083568279,0
1147056000,-2.62357187,0.447985379,-0.20870675,4
1147057000,-0.356038508,-0.471832355,-0.4058795,1
1147058000,-3.35874435,0.749625235,-0.432146095,4
1147059000,-1.512292625,-0.464651113,-0.049468982,4
1147060000,-1.394869119,-0.402605677,0.037055012,4
1147061000,-0.619570585,-0.017722318,-0.062071602,1
1147061100,-1.45572078,-1.013927882,-0.226516537,4
1147062000,-0.156734684,1.110007325,-0.306061748,1
1147063000,-0.213252285,1.067757424,-0.168112157,1
1147064000,0.312418098,-0.422971911,0.044317643,1
1147065000,-0.080088405,0.414258452,0.20083437,0
1147067000,0.262600009,0.739941988,-0.354705653,0
1147068000,0.168833147,-0.040422993,-0.441093593,1
1150051000,0.991426993,0.330209151,0.18579034,0
1150052000,1.365634246,-0.644401532,0.659462537,0
1150053000,-0.421202328,0.390675428,-0.511630256,1
1150053500,0.790210905,-1.31909588,0.789880681,0
1150054000,0.256382522,-0.650512489,0.800006292,0
1150055000,-0.390906995,0.214688736,-0.580631273,1
1150056000,0.145484371,-1.336451618,0.105405226,2
1150057000,-0.946511122,-0.612736977,0.041691407,2
1150059000,0.141131534,-0.297175573,0.077463172,1
1150059100,-0.477674304,0.233073934,0.688965387,1
1150059300,0.101260752,-0.538413257,-0.219594419,1
1150060300,2.914211499,-0.094045141,2.274488329,3
1150060400,-0.483336646,-2.802153054,-0.503331983,2
1150060500,0.124632735,-2.40904854,-0.357599938,2
1150061100,1.399265877,-0.831327469,1.208007278,0
1150061500,1.100404412,-0.591001671,0.247433603,0
1150062000,-1.424461243,1.39373538,0.05526822,1
1150063000,-0.070553022,-0.092071921,0.345494345,1
1150064000,-0.373034921,-1.015073354,0.525857033,2
1150064100,-0.849970107,-1.60870308,-0.34163029,2
1153051000,0.490835296,1.211973194,0.242619986,0
1153052000,-1.206682725,-0.447359732,0.467447111,4
1153053000,-2.413091645,-0.129538496,0.780535339,4
1153054000,-2.379545796,0.620520929,1.494270423,4
1153055000,-0.405804579,-1.237857599,0.395828434,2
1153056000,-0.351093657,-0.531375697,0.822522939,2
1153059500,-3.351088185,1.473415051,-1.291927219,4
1153072000,-0.557869443,-0.590532283,0.034115944,2
1153073000,-0.558370429,-1.055660719,-0.090547626,2
1153074000,-1.859829719,0.248793479,0.244589073,4
1153075000,-0.145372002,-0.457959544,-0.344184538,1
1153076000,-1.0184992,-0.349474401,-0.461096197,1
1153077000,-1.466707187,-0.359321536,0.26517802,4
1153078000,0.086818714,-1.308027965,0.80111304,2
1153079000,-1.976322844,-0.159048068,-0.036277868,4
1153080000,0.95464503,0.738853179,-0.459782847,0
1154551000,-3.197795009,2.691985874,2.449281851,4
1154561000,-1.63341727,1.616928915,0.639105106,1
1154562000,-2.071424774,0.234913132,-0.404888285,4
1154563000,-1.897818271,0.613580196,-0.271001537,1
1154564000,-1.871572329,0.698783173,-0.731465972,1
1154567000,-1.397715903,0.024614369,0.914467478,4
1154568000,-0.65645436,-1.859546321,0.059000079,2
1154569000,-1.821321914,-1.246856475,-0.12246358,4
1154570000,-1.450384756,-0.607191859,-0.218992796,4
1154571000,-2.053221635,-0.727262429,0.071925386,4
1156051500,-1.590500307,1.329301152,-0.144740918,1
1156053500,-2.024947502,2.680990483,2.537094891,4
1156054000,2.120420874,0.811487826,1.897780873,3
1156055000,-0.795001292,0.52785032,0.696092278,1
1156056000,2.0494052,0.039943985,-0.139670583,0
1156058500,-1.81109756,0.475343632,-0.381093066,1
1156060500,-0.427578741,0.109214622,1.285383869,1
1156061000,0.686265662,2.307263596,-1.667203896,1
1156062000,0.825400898,0.537783899,0.121207364,0
1156063000,-2.065774253,1.118228562,-0.657931447,4
1156065000,-1.040947053,0.020850112,-0.53139495,1
1156066000,-1.14378806,0.22978806,-0.822311663,1
1156067000,-0.122728606,-1.239199882,-0.454872249,2
1156068000,-0.313444257,0.110014,-0.584787324,1
1156069000,-1.155488575,1.287333147,-0.492522796,1
1156070000,-1.658845401,-0.203609794,-0.349175084,4
1156071000,-1.279298753,0.074901178,-0.332446153,1
1156072000,-1.850187795,0.501594945,-0.081764243,1
1159051000,-1.496521947,0.702833397,0.353686613,1
1159052000,-2.806765398,0.544604772,-0.312959116,4
1159053000,0.532997746,-0.25573347,0.303879771,1
1159054000,1.084659368,0.86118435,-0.722418125,0
1159055000,1.376243376,-0.139425978,-0.942360111,0
1159056000,-0.115714533,0.465465137,-0.915907932,1
1159060500,1.05514602,0.100925633,-0.423348132,0
1159062000,2.127543063,0.745301128,-1.978323363,0
1159063000,1.91770727,2.143821261,-3.031895216,0
